variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
candidate,write,cold,1884.407917000004,2.4,0.39,478969856,1,5,7,0,0,diagnostic
candidate,write,cold,1870.875,2.41,0.41,478871552,1,5,7,0,0,diagnostic
old,write,cold,650.257500000007,0.15,0.02,99926016,1,5,6,114,0,timeout
old,write,cold,646.9457089999923,0.15,0.02,99729408,1,5,6,114,0,timeout
candidate,write,cold,1872.7639159999962,2.38,0.39,482295808,1,5,7,0,0,diagnostic
candidate,write,cold,1864.6220830000238,2.4,0.4,482328576,1,5,7,0,0,diagnostic
old,write,cold,636.6208340000012,0.15,0.02,99827712,1,5,6,114,0,timeout
old,write,cold,682.6741660000116,0.15,0.02,99909632,1,5,6,114,0,timeout
candidate,write,cold,1863.930250000005,2.4,0.39,478953472,1,5,7,0,0,diagnostic
candidate,write,cold,1876.9465419999906,2.42,0.4,478724096,1,5,7,0,0,diagnostic
old,write,cold,644.1297500000219,0.15,0.02,99942400,1,5,6,114,0,timeout
old,write,cold,648.6807090000075,0.15,0.02,99778560,1,5,6,114,0,timeout
candidate,write,cold,1901.4559590000135,2.43,0.41,481787904,1,5,7,0,0,diagnostic
candidate,write,cold,1857.9168749999953,2.39,0.4,478461952,1,5,7,0,0,diagnostic
old,write,cold,645.1227499999804,0.15,0.02,99598336,1,5,6,114,0,timeout
old,write,cold,650.662667000026,0.15,0.02,99762176,1,5,6,114,0,timeout
candidate,write,cold,1887.454666000005,2.42,0.4,482017280,1,5,7,0,0,diagnostic
candidate,write,cold,1860.612374999997,2.43,0.4,481738752,1,5,7,0,0,diagnostic
old,write,cold,647.1623749999853,0.15,0.02,99991552,1,5,6,114,0,timeout
old,write,cold,641.0954160000256,0.15,0.02,99483648,1,5,6,114,0,timeout
candidate,write,cold,1867.2392080000136,2.41,0.4,474054656,1,5,7,0,0,diagnostic
candidate,write,cold,1887.568707999977,2.41,0.4,478183424,1,5,7,0,0,diagnostic
old,write,cold,631.9918749999779,0.15,0.02,99598336,1,5,6,114,0,timeout
old,write,cold,648.353334000014,0.15,0.02,99893248,1,5,6,114,0,timeout
candidate,write,cold,1867.609375,2.43,0.41,478707712,1,5,7,0,0,diagnostic
candidate,write,cold,1868.9897089999868,2.41,0.4,481607680,1,5,7,0,0,diagnostic
old,write,cold,644.5205839999835,0.15,0.02,99516416,1,5,6,114,0,timeout
old,write,cold,646.6333750000049,0.15,0.02,99860480,1,5,6,114,0,timeout
candidate,write,cold,1889.5276670000167,2.41,0.4,482279424,1,5,7,0,0,diagnostic
candidate,write,cold,1873.8557079999882,2.41,0.41,478887936,1,5,7,0,0,diagnostic
old,write,cold,654.2862920000043,0.15,0.02,99598336,1,5,6,114,0,timeout
old,write,cold,651.6867499999935,0.15,0.02,99778560,1,5,6,114,0,timeout
candidate,write,cold,1865.3665409999958,2.43,0.42,478822400,1,5,7,0,0,diagnostic
candidate,write,cold,1852.465333,2.42,0.4,478986240,1,5,7,0,0,diagnostic
old,write,cold,632.7665419999976,0.15,0.02,99713024,1,5,6,114,0,timeout
old,write,cold,638.8339580000029,0.15,0.02,99713024,1,5,6,114,0,timeout
candidate,write,cold,1835.301999999996,2.4,0.39,479494144,1,5,7,0,0,diagnostic
candidate,write,cold,1875.677250000008,2.41,0.41,479150080,1,5,7,0,0,diagnostic
old,write,cold,651.5097910000186,0.15,0.02,99811328,1,5,6,114,0,timeout
old,write,cold,648.4458339999837,0.15,0.02,99385344,1,5,6,114,0,timeout
candidate,write,cold,1877.8342079999857,2.41,0.4,479248384,1,5,7,0,0,diagnostic
candidate,write,cold,1865.3029169999936,2.42,0.4,478363648,1,5,7,0,0,diagnostic
old,write,cold,646.6884580000187,0.15,0.02,99401728,1,5,6,114,0,timeout
old,write,cold,648.278250000003,0.15,0.02,99762176,1,5,6,114,0,timeout
candidate,write,cold,1901.3831250000221,2.41,0.4,475758592,1,5,7,0,0,diagnostic
candidate,write,cold,1894.9343329999829,2.41,0.41,483098624,1,5,7,0,0,diagnostic
old,write,cold,643.5235410000023,0.15,0.02,99811328,1,5,6,114,0,timeout
old,write,cold,646.9367080000229,0.15,0.02,99631104,1,5,6,114,0,timeout
candidate,write,cold,1884.7280000000028,2.44,0.41,481099776,1,5,7,0,0,diagnostic
candidate,write,cold,1884.9437920000055,2.41,0.41,479477760,1,5,7,0,0,diagnostic
old,write,cold,633.6443750000035,0.15,0.02,99696640,1,5,6,114,0,timeout
